R ,17 ,C ,8 ,N ,200 ,D ,2,Rate ,1.052980,T ,0.153000 ,
R ,17 ,C ,8 ,N ,200 ,D ,3,Rate ,1.045113,T ,0.165000 ,
R ,17 ,C ,8 ,N ,200 ,D ,4,Rate ,1.081188,T ,0.219000 ,
R ,17 ,C ,8 ,N ,200 ,D ,5,Rate ,1.082857,T ,0.319000 ,
R ,17 ,C ,8 ,N ,200 ,D ,6,Rate ,1.103567,T ,0.444000 ,
R ,17 ,C ,8 ,N ,200 ,D ,8,Rate ,1.046388,T ,0.511000 ,
R ,17 ,C ,8 ,N ,200 ,D ,10,Rate ,1.037714,T ,0.710000 ,
R ,17 ,C ,8 ,N ,200 ,D ,12,Rate ,1.031147,T ,1.069000 ,
R ,17 ,C ,8 ,N ,200 ,D ,14,Rate ,1.022975,T ,1.276000 ,
R ,17 ,C ,8 ,N ,200 ,D ,16,Rate ,1.016478,T ,1.849000 ,
R ,17 ,C ,8 ,N ,200 ,D ,18,Rate ,1.012778,T ,2.159000 ,
R ,17 ,C ,8 ,N ,200 ,D ,20,Rate ,1.019200,T ,3.489000 ,
R ,17 ,C ,8 ,N ,200 ,D ,25,Rate ,1.013401,T ,7.216000 ,
R ,17 ,C ,8 ,N ,200 ,D ,30,Rate ,1.010519,T ,10.742000 ,
R ,17 ,C ,8 ,N ,200 ,D ,35,Rate ,1.009577,T ,20.587000 ,
R ,17 ,C ,8 ,N ,200 ,D ,40,Rate ,1.009736,T ,30.025000 ,
R ,17 ,C ,8 ,N ,200 ,D ,45,Rate ,1.010443,T ,42.349000 ,
R ,17 ,C ,8 ,N ,200 ,D ,50,Rate ,1.008356,T ,69.143000 ,
R ,17 ,C ,8 ,N ,200 ,D ,55,Rate ,1.007194,T ,57.331000 ,
R ,17 ,C ,8 ,N ,200 ,D ,60,Rate ,1.006397,T ,65.784000 ,
R ,17 ,C ,8 ,N ,200 ,D ,65,Rate ,1.008031,T ,121.087000 ,
R ,17 ,C ,8 ,N ,200 ,D ,70,Rate ,1.008710,T ,166.400000 ,
R ,17 ,C ,8 ,N ,250 ,D ,1,Rate ,1.056000,T ,0.335000 ,
R ,17 ,C ,8 ,N ,250 ,D ,2,Rate ,1.037838,T ,0.205000 ,
R ,17 ,C ,8 ,N ,250 ,D ,3,Rate ,1.064257,T ,0.307000 ,
R ,17 ,C ,8 ,N ,250 ,D ,4,Rate ,1.087302,T ,0.323000 ,
R ,17 ,C ,8 ,N ,250 ,D ,5,Rate ,1.098083,T ,0.440000 ,
R ,17 ,C ,8 ,N ,250 ,D ,6,Rate ,1.083854,T ,0.593000 ,
R ,17 ,C ,8 ,N ,250 ,D ,8,Rate ,1.062808,T ,0.992000 ,
R ,17 ,C ,8 ,N ,250 ,D ,10,Rate ,1.040187,T ,1.594000 ,
R ,17 ,C ,8 ,N ,250 ,D ,12,Rate ,1.035866,T ,2.115000 ,
R ,17 ,C ,8 ,N ,250 ,D ,14,Rate ,1.028055,T ,2.644000 ,
R ,17 ,C ,8 ,N ,250 ,D ,16,Rate ,1.020937,T ,3.587000 ,
R ,17 ,C ,8 ,N ,250 ,D ,18,Rate ,1.022529,T ,4.495000 ,
R ,17 ,C ,8 ,N ,250 ,D ,20,Rate ,1.021438,T ,6.410000 ,
R ,17 ,C ,8 ,N ,250 ,D ,25,Rate ,1.017699,T ,16.582000 ,
R ,17 ,C ,8 ,N ,250 ,D ,30,Rate ,1.014724,T ,25.390000 ,
R ,17 ,C ,8 ,N ,250 ,D ,35,Rate ,1.012381,T ,48.393000 ,
R ,17 ,C ,8 ,N ,250 ,D ,40,Rate ,1.014320,T ,45.308000 ,
R ,17 ,C ,8 ,N ,250 ,D ,45,Rate ,1.017283,T ,144.435000 ,
R ,17 ,C ,8 ,N ,250 ,D ,50,Rate ,1.013047,T ,150.042000 ,
R ,17 ,C ,8 ,N ,250 ,D ,55,Rate ,1.009643,T ,145.346000 ,
R ,17 ,C ,8 ,N ,300 ,D ,1,Rate ,1.083333,T ,0.535000 ,
