R ,8 ,C ,5 ,N ,220 ,D ,16,Rate ,1.067707,T ,65.391000 ,
R ,8 ,C ,5 ,N ,220 ,D ,18,Rate ,1.096149,T ,140.468000 ,
R ,8 ,C ,5 ,N ,220 ,D ,20,Rate ,1.086691,T ,152.090000 ,
R ,8 ,C ,5 ,N ,240 ,D ,1,Rate ,1.002736,T ,1.385000 ,
R ,8 ,C ,5 ,N ,240 ,D ,2,Rate ,1.007214,T ,1.457000 ,
R ,8 ,C ,5 ,N ,240 ,D ,3,Rate ,1.008682,T ,2.096000 ,
R ,8 ,C ,5 ,N ,240 ,D ,4,Rate ,1.009193,T ,2.410000 ,
R ,8 ,C ,5 ,N ,240 ,D ,5,Rate ,1.016658,T ,4.488000 ,
R ,8 ,C ,5 ,N ,240 ,D ,6,Rate ,1.014332,T ,5.149000 ,
R ,8 ,C ,5 ,N ,240 ,D ,8,Rate ,1.023458,T ,11.251000 ,
R ,8 ,C ,5 ,N ,240 ,D ,10,Rate ,1.034252,T ,25.809000 ,
R ,8 ,C ,5 ,N ,240 ,D ,12,Rate ,1.051081,T ,51.502000 ,
R ,8 ,C ,5 ,N ,240 ,D ,14,Rate ,1.068850,T ,64.290000 ,
R ,8 ,C ,5 ,N ,240 ,D ,16,Rate ,1.089595,T ,121.450000 ,
R ,8 ,C ,5 ,N ,240 ,D ,18,Rate ,1.096085,T ,155.937000 ,
R ,8 ,C ,5 ,N ,240 ,D ,20,Rate ,1.099155,T ,199.833000 ,
R ,8 ,C ,5 ,N ,260 ,D ,1,Rate ,1.005049,T ,1.444000 ,
R ,8 ,C ,5 ,N ,260 ,D ,2,Rate ,1.007003,T ,1.714000 ,
R ,8 ,C ,5 ,N ,260 ,D ,3,Rate ,1.012295,T ,3.017000 ,
R ,8 ,C ,5 ,N ,260 ,D ,4,Rate ,1.015724,T ,3.823000 ,
R ,8 ,C ,5 ,N ,260 ,D ,5,Rate ,1.017923,T ,5.397000 ,
R ,8 ,C ,5 ,N ,260 ,D ,6,Rate ,1.023575,T ,9.103000 ,
R ,8 ,C ,5 ,N ,260 ,D ,8,Rate ,1.033054,T ,18.908000 ,
R ,8 ,C ,5 ,N ,260 ,D ,10,Rate ,1.054023,T ,43.807000 ,
R ,8 ,C ,5 ,N ,260 ,D ,12,Rate ,1.057996,T ,79.945000 ,
R ,8 ,C ,5 ,N ,260 ,D ,14,Rate ,1.065657,T ,87.225000 ,
R ,8 ,C ,5 ,N ,280 ,D ,1,Rate ,1.004573,T ,1.676000 ,
R ,8 ,C ,5 ,N ,280 ,D ,2,Rate ,1.007691,T ,2.267000 ,
R ,8 ,C ,5 ,N ,280 ,D ,3,Rate ,1.009722,T ,2.678000 ,
R ,8 ,C ,5 ,N ,280 ,D ,4,Rate ,1.015003,T ,4.821000 ,
R ,8 ,C ,5 ,N ,280 ,D ,5,Rate ,1.017247,T ,6.208000 ,
R ,8 ,C ,5 ,N ,280 ,D ,6,Rate ,1.020075,T ,9.086000 ,
R ,8 ,C ,5 ,N ,280 ,D ,8,Rate ,1.036690,T ,21.262000 ,
R ,8 ,C ,5 ,N ,280 ,D ,10,Rate ,1.058277,T ,50.705000 ,
R ,8 ,C ,5 ,N ,280 ,D ,12,Rate ,1.072887,T ,99.028000 ,
R ,8 ,C ,5 ,N ,280 ,D ,14,Rate ,1.083751,T ,159.377000 ,
R ,8 ,C ,5 ,N ,300 ,D ,1,Rate ,1.003283,T ,1.826000 ,
R ,8 ,C ,5 ,N ,300 ,D ,2,Rate ,1.010019,T ,2.564000 ,
R ,8 ,C ,5 ,N ,300 ,D ,3,Rate ,1.011911,T ,3.939000 ,
R ,8 ,C ,5 ,N ,300 ,D ,4,Rate ,1.017972,T ,5.954000 ,
R ,8 ,C ,5 ,N ,300 ,D ,5,Rate ,1.026709,T ,9.682000 ,
R ,8 ,C ,5 ,N ,300 ,D ,6,Rate ,1.027299,T ,13.802000 ,
R ,8 ,C ,5 ,N ,300 ,D ,8,Rate ,1.043176,T ,34.272000 ,
R ,8 ,C ,5 ,N ,300 ,D ,10,Rate ,1.072659,T ,85.626000 ,
R ,8 ,C ,5 ,N ,300 ,D ,12,Rate ,1.079419,T ,111.868000 ,
R ,8 ,C ,5 ,N ,300 ,D ,14,Rate ,1.089546,T ,200.268000 ,
R ,8 ,C ,5 ,N ,300 ,D ,1,Rate ,1.001093,T ,2.332000 ,
R ,8 ,C ,5 ,N ,300 ,D ,2,Rate ,1.003389,T ,1.960000 ,
R ,8 ,C ,5 ,N ,300 ,D ,3,Rate ,1.003487,T ,2.468000 ,
R ,8 ,C ,5 ,N ,300 ,D ,4,Rate ,1.005872,T ,3.297000 ,
R ,8 ,C ,5 ,N ,300 ,D ,5,Rate ,1.008992,T ,5.443000 ,
R ,8 ,C ,5 ,N ,300 ,D ,6,Rate ,1.011121,T ,9.935000 ,
