R ,64,C ,64,N ,220,D ,14,Rate ,1.008469,T ,1.102
R ,64,C ,64,N ,220,D ,16,Rate ,1.009463,T ,1.334
R ,64,C ,64,N ,220,D ,18,Rate ,1.005116,T ,1.529
R ,64,C ,64,N ,220,D ,20,Rate ,1.005775,T ,1.818
R ,64,C ,64,N ,220,D ,25,Rate ,1.005915,T ,2.777
R ,64,C ,64,N ,220,D ,30,Rate ,1.005156,T ,4.888
R ,64,C ,64,N ,240,D ,1,Rate ,1.029167,T ,0.199
R ,64,C ,64,N ,240,D ,2,Rate ,1.015267,T ,0.169
R ,64,C ,64,N ,240,D ,3,Rate ,1.023483,T ,0.212
R ,64,C ,64,N ,240,D ,4,Rate ,1.013223,T ,0.218
R ,64,C ,64,N ,240,D ,5,Rate ,1.007964,T ,0.251
R ,64,C ,64,N ,240,D ,6,Rate ,1.007895,T ,0.343
R ,64,C ,64,N ,240,D ,8,Rate ,1.008717,T ,0.463
R ,64,C ,64,N ,240,D ,10,Rate ,1.008045,T ,0.644
R ,64,C ,64,N ,240,D ,12,Rate ,1.012289,T ,1.146
R ,64,C ,64,N ,240,D ,14,Rate ,1.010091,T ,1.329
R ,64,C ,64,N ,240,D ,16,Rate ,1.007322,T ,1.542
R ,64,C ,64,N ,240,D ,18,Rate ,1.005675,T ,1.843
R ,64,C ,64,N ,240,D ,20,Rate ,1.005525,T ,2.553
R ,64,C ,64,N ,240,D ,25,Rate ,1.006976,T ,3.995
R ,64,C ,64,N ,240,D ,30,Rate ,1.006579,T ,7.251
R ,64,C ,64,N ,260,D ,1,Rate ,1.046154,T ,0.263
R ,64,C ,64,N ,260,D ,2,Rate ,1.04557,T ,0.237
R ,64,C ,64,N ,260,D ,3,Rate ,1.027985,T ,0.265
R ,64,C ,64,N ,260,D ,4,Rate ,1.016129,T ,0.261
R ,64,C ,64,N ,260,D ,5,Rate ,1.012121,T ,0.34
R ,64,C ,64,N ,260,D ,6,Rate ,1.009926,T ,0.406
R ,64,C ,64,N ,260,D ,8,Rate ,1.003411,T ,0.585
R ,64,C ,64,N ,260,D ,10,Rate ,1.010358,T ,1.019
R ,64,C ,64,N ,260,D ,12,Rate ,1.009591,T ,1.511
R ,64,C ,64,N ,260,D ,14,Rate ,1.010238,T ,1.354
R ,64,C ,64,N ,260,D ,16,Rate ,1.00826,T ,2.045
R ,64,C ,64,N ,260,D ,18,Rate ,1.006639,T ,2.38
R ,64,C ,64,N ,260,D ,20,Rate ,1.006946,T ,2.958
R ,64,C ,64,N ,260,D ,25,Rate ,1.00645,T ,4.296
R ,64,C ,64,N ,260,D ,30,Rate ,1.009015,T ,9.62
R ,64,C ,64,N ,280,D ,1,Rate ,1.039286,T ,0.299
R ,64,C ,64,N ,280,D ,2,Rate ,1.028302,T ,0.232
R ,64,C ,64,N ,280,D ,3,Rate ,1.016949,T ,0.292
R ,64,C ,64,N ,280,D ,4,Rate ,1.015936,T ,0.31
R ,64,C ,64,N ,280,D ,5,Rate ,1.009747,T ,0.421
R ,64,C ,64,N ,280,D ,6,Rate ,1.020225,T ,0.505
R ,64,C ,64,N ,280,D ,8,Rate ,1.009395,T ,0.695
R ,64,C ,64,N ,280,D ,10,Rate ,1.01336,T ,1.26
R ,64,C ,64,N ,280,D ,12,Rate ,1.012467,T ,1.737
R ,64,C ,64,N ,280,D ,14,Rate ,1.01005,T ,1.93
R ,64,C ,64,N ,280,D ,16,Rate ,1.012028,T ,2.628
R ,64,C ,64,N ,280,D ,18,Rate ,1.007669,T ,2.854
R ,64,C ,64,N ,280,D ,20,Rate ,1.007913,T ,3.417
R ,64,C ,64,N ,280,D ,25,Rate ,1.009182,T ,6.102
R ,64,C ,64,N ,280,D ,30,Rate ,1.007639,T ,12.548
