R ,8 ,C ,5 ,N ,240 ,D ,8,Rate ,1.162350,T ,4.216000 ,
R ,8 ,C ,5 ,N ,240 ,D ,10,Rate ,1.175728,T ,10.784000 ,
R ,8 ,C ,5 ,N ,240 ,D ,12,Rate ,1.158104,T ,20.645000 ,
R ,8 ,C ,5 ,N ,240 ,D ,14,Rate ,1.126414,T ,30.152000 ,
R ,8 ,C ,5 ,N ,240 ,D ,16,Rate ,1.147320,T ,64.886000 ,
R ,8 ,C ,5 ,N ,240 ,D ,18,Rate ,1.135700,T ,82.796000 ,
R ,8 ,C ,5 ,N ,260 ,D ,1,Rate ,1.211538,T ,0.596000 ,
R ,8 ,C ,5 ,N ,260 ,D ,2,Rate ,1.163636,T ,0.477000 ,
R ,8 ,C ,5 ,N ,260 ,D ,3,Rate ,1.202703,T ,0.674000 ,
R ,8 ,C ,5 ,N ,260 ,D ,4,Rate ,1.238462,T ,1.021000 ,
R ,8 ,C ,5 ,N ,260 ,D ,5,Rate ,1.203243,T ,1.535000 ,
R ,8 ,C ,5 ,N ,260 ,D ,6,Rate ,1.221477,T ,2.860000 ,
R ,8 ,C ,5 ,N ,260 ,D ,8,Rate ,1.192742,T ,5.191000 ,
R ,8 ,C ,5 ,N ,260 ,D ,10,Rate ,1.178909,T ,12.319000 ,
R ,8 ,C ,5 ,N ,260 ,D ,12,Rate ,1.146165,T ,21.849000 ,
R ,8 ,C ,5 ,N ,260 ,D ,14,Rate ,1.180805,T ,54.761000 ,
R ,8 ,C ,5 ,N ,260 ,D ,16,Rate ,1.187962,T ,123.480000 ,
R ,8 ,C ,5 ,N ,280 ,D ,1,Rate ,1.264286,T ,0.731000 ,
R ,8 ,C ,5 ,N ,280 ,D ,2,Rate ,1.178049,T ,0.505000 ,
R ,8 ,C ,5 ,N ,280 ,D ,3,Rate ,1.181818,T ,0.973000 ,
R ,8 ,C ,5 ,N ,280 ,D ,4,Rate ,1.175793,T ,1.001000 ,
R ,8 ,C ,5 ,N ,280 ,D ,5,Rate ,1.244604,T ,2.011000 ,
R ,8 ,C ,5 ,N ,280 ,D ,6,Rate ,1.224329,T ,3.185000 ,
